graph_id,vertices,edges,density,variant,source,weight_model,total_operations_count,total_execution_time_ns
1,6,7,sparse,pure_dag,0,node,79,87900
2,8,17,sparse,one_cycle,4,node,75,22800
3,10,28,sparse,two_cycles,1,node,114,26900
4,6,12,dense,pure_dag,0,node,114,76900
5,8,28,dense,one_cycle,2,node,108,24800
6,10,42,dense,two_cycles,4,node,156,31000
7,14,36,sparse,one_cycle,0,node,150,40300
8,16,38,sparse,two_cycles,5,node,162,62900
9,20,43,sparse,multiple_sccs,2,node,189,46800
10,14,94,dense,one_cycle,4,node,324,42000
11,16,113,dense,two_cycles,6,node,387,41500
12,20,115,dense,multiple_sccs,2,node,405,51600
13,30,147,sparse,pure_dag,0,node,1179,373100
14,40,109,sparse,multiple_sccs,12,node,447,178100
15,50,461,sparse,two_cycles,14,node,1533,166800
16,30,322,dense,pure_dag,0,node,2404,855500
17,40,397,dense,multiple_sccs,5,node,1311,217100
18,50,1307,dense,two_cycles,25,node,4071,766500
